method,p,rep,threshold_pct,n_full,n_sample,rho,rho_tilde,time_total_s,dataset,part
MAD,0.1,49,0.1,240,24,1.0,0.44,0.0008199820294976234,vertebral,A
ChiSquare,0.1,0,0.1,240,24,0.5,0.983478260869565,0.0006570960395038128,vertebral,A
ChiSquare,0.1,1,0.1,240,24,0.5,0.946086956521739,0.0006395520176738501,vertebral,A
ChiSquare,0.1,2,0.1,240,24,0.5,0.8608695652173911,0.0006389369955286384,vertebral,A
ChiSquare,0.1,3,0.1,240,24,0.5,0.7339130434782607,0.0006528090452775359,vertebral,A
ChiSquare,0.1,4,0.1,240,24,1.0,0.8869565217391304,0.0006531690014526248,vertebral,A
ChiSquare,0.1,5,0.1,240,24,1.0,0.9730434782608696,0.0006965199718251824,vertebral,A
ChiSquare,0.1,6,0.1,240,24,1.0,0.9121739130434783,0.0006896370323374867,vertebral,A
ChiSquare,0.1,7,0.1,240,24,0.5,0.9678260869565216,0.000698310905136168,vertebral,A
ChiSquare,0.1,8,0.1,240,24,1.0,0.9252173913043478,0.0006990010151639581,vertebral,A
ChiSquare,0.1,9,0.1,240,24,1.0,0.9852173913043477,0.0007178200175985694,vertebral,A
ChiSquare,0.1,10,0.1,240,24,1.0,0.8095652173913043,0.0007203560089692473,vertebral,A
ChiSquare,0.1,11,0.1,240,24,1.0,0.8547826086956521,0.0007202270207926631,vertebral,A
ChiSquare,0.1,12,0.1,240,24,0.5,0.9356521739130433,0.0007258650148287416,vertebral,A
ChiSquare,0.1,13,0.1,240,24,1.0,0.9217391304347825,0.0007161240791901946,vertebral,A
ChiSquare,0.1,14,0.1,240,24,1.0,0.9808695652173912,0.0007140339585021138,vertebral,A
ChiSquare,0.1,15,0.1,240,24,0.5,0.9426086956521739,0.0007262639701366425,vertebral,A
ChiSquare,0.1,16,0.1,240,24,1.0,0.9608695652173912,0.0007606480503454804,vertebral,A
ChiSquare,0.1,17,0.1,240,24,0.5,0.9399999999999998,0.0007309840293601155,vertebral,A
ChiSquare,0.1,18,0.1,240,24,1.0,0.9652173913043477,0.0007257480174303055,vertebral,A
ChiSquare,0.1,19,0.1,240,24,1.0,0.8739130434782607,0.0007257580291479826,vertebral,A
ChiSquare,0.1,20,0.1,240,24,1.0,0.9565217391304346,0.0007554700132459402,vertebral,A
ChiSquare,0.1,21,0.1,240,24,1.0,0.8530434782608695,0.0007468529511243105,vertebral,A
ChiSquare,0.1,22,0.1,240,24,0.5,0.9069565217391303,0.00074167107231915,vertebral,A
ChiSquare,0.1,23,0.1,240,24,0.5,0.9182608695652172,0.0007515189936384559,vertebral,A
ChiSquare,0.1,24,0.1,240,24,1.0,0.6799999999999999,0.0007483289809897542,vertebral,A
ChiSquare,0.1,25,0.1,240,24,0.5,0.9417391304347826,0.0007495299214497209,vertebral,A
ChiSquare,0.1,26,0.1,240,24,0.5,0.9304347826086956,0.000740575953386724,vertebral,A
ChiSquare,0.1,27,0.1,240,24,1.0,0.9182608695652172,0.00073827407322824,vertebral,A
ChiSquare,0.1,28,0.1,240,24,0.0,0.766086956521739,0.0007384809432551265,vertebral,A
ChiSquare,0.1,29,0.1,240,24,0.5,0.9817391304347826,0.0007398349698632956,vertebral,A
ChiSquare,0.1,30,0.1,240,24,0.5,0.9521739130434782,0.000738344038836658,vertebral,A
ChiSquare,0.1,31,0.1,240,24,1.0,0.7678260869565217,0.0007370059611275792,vertebral,A
ChiSquare,0.1,32,0.1,240,24,0.5,0.9269565217391305,0.0007363669574260712,vertebral,A
ChiSquare,0.1,33,0.1,240,24,1.0,0.9852173913043477,0.0007433249847963452,vertebral,A
ChiSquare,0.1,34,0.1,240,24,1.0,0.9008695652173913,0.0007428039098158479,vertebral,A
ChiSquare,0.1,35,0.1,240,24,1.0,0.9278260869565217,0.000746270059607923,vertebral,A
ChiSquare,0.1,36,0.1,240,24,1.0,0.9678260869565216,0.0007628250168636441,vertebral,A
ChiSquare,0.1,37,0.1,240,24,0.5,0.9817391304347826,0.0008099270053207874,vertebral,A
ChiSquare,0.1,38,0.1,240,24,1.0,0.9591304347826086,0.0007607630686834455,vertebral,A
ChiSquare,0.1,39,0.1,240,24,0.5,0.9226086956521738,0.0007535039912909269,vertebral,A
ChiSquare,0.1,40,0.1,240,24,0.5,0.9695652173913042,0.0007428090320900083,vertebral,A
ChiSquare,0.1,41,0.1,240,24,0.5,0.9626086956521739,0.000736163929104805,vertebral,A
ChiSquare,0.1,42,0.1,240,24,0.5,0.9808695652173912,0.0007416759617626667,vertebral,A
ChiSquare,0.1,43,0.1,240,24,1.0,0.9678260869565216,0.0007380290189757943,vertebral,A
ChiSquare,0.1,44,0.1,240,24,0.5,0.9391304347826085,0.0007376460125669837,vertebral,A
ChiSquare,0.1,45,0.1,240,24,1.0,0.9478260869565217,0.0007640080293640494,vertebral,A
ChiSquare,0.1,46,0.1,240,24,0.5,0.9634782608695651,0.0007385649951174855,vertebral,A
ChiSquare,0.1,47,0.1,240,24,0.5,0.8417391304347825,0.0007382719777524471,vertebral,A
ChiSquare,0.1,48,0.1,240,24,0.5,0.8539130434782608,0.0007438750471919775,vertebral,A
ChiSquare,0.1,49,0.1,240,24,0.5,0.8478260869565216,0.0007381689501926303,vertebral,A
COPOD,0.1,0,0.1,240,24,1.0,0.8095652173913043,0.5938374280231073,vertebral,A
COPOD,0.1,1,0.1,240,24,0.5,0.6191304347826087,0.010267097037285566,vertebral,A
COPOD,0.1,2,0.1,240,24,1.0,0.9313043478260868,0.009740520967170596,vertebral,A
COPOD,0.1,3,0.1,240,24,0.5,0.8573913043478261,0.011336596915498376,vertebral,A
COPOD,0.1,4,0.1,240,24,0.5,0.8147826086956521,0.012431605020537972,vertebral,A
COPOD,0.1,5,0.1,240,24,0.5,0.8999999999999999,0.010466524050571024,vertebral,A
COPOD,0.1,6,0.1,240,24,0.5,0.6008695652173912,0.011618964024819434,vertebral,A
COPOD,0.1,7,0.1,240,24,1.0,0.8965217391304346,0.011576207005418837,vertebral,A
COPOD,0.1,8,0.1,240,24,1.0,0.9382608695652173,0.01184183603618294,vertebral,A
COPOD,0.1,9,0.1,240,24,0.5,0.7130434782608696,0.012150237103924155,vertebral,A
COPOD,0.1,10,0.1,240,24,1.0,0.8808695652173912,0.009562163962982595,vertebral,A
COPOD,0.1,11,0.1,240,24,0.5,0.8904347826086956,0.01229453703854233,vertebral,A
COPOD,0.1,12,0.1,240,24,0.5,0.8547826086956521,0.012790456996299326,vertebral,A
