method,p,K,rep,n_full,n_sample_target,n_sample_actual,rho_srs,rho_tilde_srs,rho_cluster,rho_tilde_cluster,rho_icc,deff,time_total_s,error,dataset,tier,method_class
ThreeSigma,0.1,5,4,7200,720,720.0,0.8843537414965986,0.9768008321404228,0.9305555555555556,0.9925098250706067,0.9018249150374591,129.96096285035665,0.24633587099378929,,annthyroid,T2,I
ThreeSigma,0.1,5,5,7200,720,720.0,0.9795918367346939,0.9975962233659176,0.9655172413793104,0.996473589118159,0.9016533699473704,129.93643190247397,0.18347242200979963,,annthyroid,T2,I
ThreeSigma,0.1,5,6,7200,720,720.0,0.9379310344827586,0.9899898040707954,0.9452054794520548,0.9958609210310788,0.9016533699473704,129.93643190247397,0.22606032498879358,,annthyroid,T2,I
ThreeSigma,0.1,5,7,7200,720,720.0,0.9166666666666666,0.9879055772662113,0.9444444444444444,0.9953214561483282,0.9018382621585518,129.9628714886729,0.4061165479943156,,annthyroid,T2,I
ThreeSigma,0.1,5,8,7200,720,720.0,0.9452054794520548,0.9911747969296636,0.9517241379310345,0.9947096005748749,0.9016522230406713,129.93626789481598,0.25754319701809436,,annthyroid,T2,I
ThreeSigma,0.1,5,9,7200,720,720.0,0.9379310344827586,0.9977198327204203,0.958904109589041,0.991206530420701,0.9015974874638403,129.92844070732917,0.21538949303794652,,annthyroid,T2,I
ThreeSigma,0.1,5,10,7200,720,720.0,0.9861111111111112,0.9974671088964709,0.9315068493150684,0.9940834634433533,0.9016820452623099,129.9405324725103,0.2091779230395332,,annthyroid,T2,I
ThreeSigma,0.1,5,11,7200,720,720.0,0.9444444444444444,0.9926706862828019,0.9251700680272109,0.9937447471068867,0.9016579298020174,129.9370839616885,0.27625010098563507,,annthyroid,T2,I
ThreeSigma,0.1,5,12,7200,720,720.0,0.9166666666666666,0.9912717479676311,0.9315068493150684,0.9952900738663633,0.9018507017443619,129.96465034944376,0.2433464420028031,,annthyroid,T2,I
ThreeSigma,0.1,5,13,7200,720,720.0,0.9178082191780822,0.9836075820215474,0.9583333333333334,0.993680129354884,0.9016579298020174,129.9370839616885,0.18467787996632978,,annthyroid,T2,I
ThreeSigma,0.1,5,14,7200,720,720.0,0.9166666666666666,0.9863612899572365,0.9861111111111112,0.9968536116716,0.9016579298020174,129.9370839616885,0.2512242380180396,,annthyroid,T2,I
ThreeSigma,0.1,5,15,7200,720,720.0,0.9444444444444444,0.9807990599377245,0.9379310344827586,0.9942555654460108,0.9016522230406712,129.93626789481598,0.37714592600241303,,annthyroid,T2,I
ThreeSigma,0.1,5,16,7200,720,720.0,0.9166666666666666,0.9950493743152757,0.9517241379310345,0.9954767446757739,0.9016579298020174,129.9370839616885,0.29551655997056514,,annthyroid,T2,I
ThreeSigma,0.1,5,17,7200,720,720.0,0.9166666666666666,0.9799186295032646,0.9583333333333334,0.9954394836565417,0.9016579298020174,129.9370839616885,0.19340057199588045,,annthyroid,T2,I
ThreeSigma,0.1,5,18,7200,720,720.0,0.9305555555555556,0.997648349797592,1.0,0.997415271074235,0.9018249150374591,129.96096285035665,0.24247302999719977,,annthyroid,T2,I
ThreeSigma,0.1,5,19,7200,720,720.0,0.9722222222222222,0.9940977546706189,0.9444444444444444,0.9897933605964041,0.9018249150374591,129.96096285035665,0.364496779977344,,annthyroid,T2,I
ThreeSigma,0.1,5,20,7200,720,720.0,0.9166666666666666,0.9849079379115968,0.8888888888888888,0.9847643975804204,0.9015929063606305,129.92778560957015,0.20659952401183546,,annthyroid,T2,I
ThreeSigma,0.1,5,21,7200,720,720.0,0.8904109589041096,0.9906721329736701,0.9517241379310345,0.9929756179462542,0.9016820452623099,129.9405324725103,0.21773052599746734,,annthyroid,T2,I
ThreeSigma,0.1,5,22,7200,720,720.0,0.9041095890410958,0.9831456647961595,0.9305555555555556,0.9974980213186363,0.9016820452623099,129.9405324725103,0.2721749500487931,,annthyroid,T2,I
ThreeSigma,0.1,5,23,7200,720,720.0,0.9166666666666666,0.9883511534793317,0.875,0.9909654465163719,0.9016522230406712,129.93626789481598,0.30262678203871474,,annthyroid,T2,I
ThreeSigma,0.1,5,24,7200,720,720.0,0.9722222222222222,0.9983623906064208,0.9583333333333334,0.9983184599158693,0.9018249150374591,129.96096285035665,0.22952611203072593,,annthyroid,T2,I
ThreeSigma,0.1,5,25,7200,720,720.0,0.9444444444444444,0.9943400707333162,0.9722222222222222,0.9962798569664153,0.9016820452623099,129.9405324725103,0.2158941559609957,,annthyroid,T2,I
ThreeSigma,0.1,5,26,7200,720,720.0,0.9722222222222222,0.9917287188388993,0.8689655172413793,0.9861616204854247,0.9016522230406712,129.93626789481598,0.2988360800081864,,annthyroid,T2,I
ThreeSigma,0.1,5,27,7200,720,720.0,0.9166666666666666,0.9918024797741957,0.9305555555555556,0.992375309990007,0.9016533699473704,129.93643190247397,0.23241545702330768,,annthyroid,T2,I
ThreeSigma,0.1,5,28,7200,720,720.0,0.8827586206896552,0.984926577230468,0.9517241379310345,0.9944818382843221,0.9018178855127997,129.95995762833036,0.24019429000327364,,annthyroid,T2,I
ThreeSigma,0.1,5,29,7200,720,720.0,0.9305555555555556,0.9957042305074344,0.9583333333333334,0.9960539105765274,0.9016866524979922,129.94119130721288,0.17931403499096632,,annthyroid,T2,I
ThreeSigma,0.2,5,0,7200,1440,1440.0,0.9896193771626297,0.9964888087428991,0.9793103448275862,0.9981613147988782,0.826682063878148,238.2577523330285,0.3788222059956752,,annthyroid,T2,I
ThreeSigma,0.2,5,1,7200,1440,1440.0,0.9375,0.9964547840739001,0.9791666666666666,0.9961241987162628,0.8269446174848447,238.33310521815042,0.37425508297747,,annthyroid,T2,I
ThreeSigma,0.2,5,2,7200,1440,1440.0,0.9375,0.9906341186126054,0.9305555555555556,0.9936397209126467,0.827010609119356,238.35204481725518,0.22544767201179639,,annthyroid,T2,I
ThreeSigma,0.2,5,3,7200,1440,1440.0,0.9724137931034482,0.9951427292037481,0.9444444444444444,0.99359989441817,0.8267432384081984,238.27530942315295,0.35189617198193446,,annthyroid,T2,I
ThreeSigma,0.2,5,4,7200,1440,1440.0,0.9619377162629758,0.9968881322549326,0.9550173010380623,0.9981593101041447,0.8269500478633566,238.33466373678334,0.2943531050113961,,annthyroid,T2,I
ThreeSigma,0.2,5,5,7200,1440,1440.0,0.9379310344827586,0.9957500701156431,0.9586206896551724,0.9942850403869732,0.8267577910346845,238.27948602695446,0.2012954739620909,,annthyroid,T2,I
ThreeSigma,0.2,5,6,7200,1440,1440.0,0.9722222222222222,0.9987330402988465,0.9722222222222222,0.9943035975765411,0.8267577910346845,238.27948602695446,0.22876665397780016,,annthyroid,T2,I
ThreeSigma,0.2,5,7,7200,1440,1440.0,0.9236111111111112,0.9918311942956084,0.9619377162629758,0.9969878453007291,0.8269702992303151,238.3404758791004,0.43738838902208954,,annthyroid,T2,I
ThreeSigma,0.2,5,8,7200,1440,1440.0,0.9379310344827586,0.9975993231263255,0.9379310344827586,0.9976042169555653,0.8267561746580739,238.27902212686723,0.2595258270157501,,annthyroid,T2,I
ThreeSigma,0.2,5,9,7200,1440,1440.0,0.9204152249134948,0.9869783033847904,0.9448275862068966,0.9972313109039593,0.826693435873619,238.26101609572865,0.24020754202501848,,annthyroid,T2,I
ThreeSigma,0.2,5,10,7200,1440,1440.0,0.9826989619377162,0.994674119884683,0.9722222222222222,0.9971155029653628,0.8267896649885396,238.28863385171084,0.21144538198132068,,annthyroid,T2,I
ThreeSigma,0.2,5,11,7200,1440,1440.0,0.8680555555555556,0.9943000488316746,0.9583333333333334,0.9963137561802722,0.8267640165798474,238.2812727584162,0.29749050602549687,,annthyroid,T2,I
ThreeSigma,0.2,5,12,7200,1440,1440.0,0.9826989619377162,0.9983404915944757,0.9724137931034482,0.9979672583911506,0.8269854409476295,238.34482155196966,0.2580378769780509,,annthyroid,T2,I
ThreeSigma,0.2,5,13,7200,1440,1440.0,0.9688581314878892,0.9975743349582259,0.9791666666666666,0.9971764020638618,0.8267640165798474,238.2812727584162,0.17849868501070887,,annthyroid,T2,I
ThreeSigma,0.2,5,14,7200,1440,1440.0,0.9724137931034482,0.9969978077122563,0.952054794520548,0.9958953144945872,0.8267640165798474,238.2812727584162,0.24701639398699626,,annthyroid,T2,I
ThreeSigma,0.2,5,15,7200,1440,1440.0,0.9342560553633218,0.99580961231083,0.9619377162629758,0.9987799342421142,0.8267561746580739,238.27902212686723,0.3602222619811073,,annthyroid,T2,I
ThreeSigma,0.2,5,16,7200,1440,1440.0,0.9652777777777778,0.9964465882170794,0.9283276450511946,0.9949999379726547,0.8267640165798474,238.2812727584162,0.26453449903056026,,annthyroid,T2,I
ThreeSigma,0.2,5,17,7200,1440,1440.0,0.9178082191780822,0.9939182504076891,0.9305555555555556,0.9956357814981683,0.8267640165798474,238.2812727584162,0.20302199601428583,,annthyroid,T2,I
ThreeSigma,0.2,5,18,7200,1440,1440.0,0.9097222222222222,0.9916583283199681,0.9722222222222222,0.9969190133746644,0.8269500478633566,238.33466373678334,0.2188637360231951,,annthyroid,T2,I
ThreeSigma,0.2,5,19,7200,1440,1440.0,0.9513888888888888,0.9955010817426614,0.9688581314878892,0.998348392692064,0.8269500478633566,238.33466373678334,0.3746732840081677,,annthyroid,T2,I
ThreeSigma,0.2,5,20,7200,1440,1440.0,0.9513888888888888,0.9928609901548059,0.9166666666666666,0.9953753163999349,0.8266871794491202,238.2592205018975,0.2111337700043805,,annthyroid,T2,I
ThreeSigma,0.2,5,21,7200,1440,1440.0,0.9619377162629758,0.99494459833214,0.9236111111111112,0.9939187297588555,0.8267896649885396,238.28863385171084,0.22290815802989528,,annthyroid,T2,I
ThreeSigma,0.2,5,22,7200,1440,1440.0,0.9666666666666667,0.9983928893320032,0.9655172413793104,0.996934939689764,0.8267896649885396,238.28863385171084,0.26912762597203255,,annthyroid,T2,I
ThreeSigma,0.2,5,23,7200,1440,1440.0,0.9757785467128027,0.9984372763991691,0.9342560553633218,0.9963280119288931,0.8267561746580739,238.27902212686723,0.31109425297472626,,annthyroid,T2,I
