method,p,rep,n_full,n_sample,rho_srs,rho_tilde_srs,rho_str,rho_tilde_str,rho_str_km,rho_tilde_str_km,time_total_s,error,dataset,tier,method_class
ThreeSigma,0.2,11,7200,1440,0.8680555555555556,0.9943000488316746,0.9236111111111112,0.9949787587292694,0.9652777777777778,0.9980356129280042,0.5942151269991882,,annthyroid,T2,I
ThreeSigma,0.2,12,7200,1440,0.9826989619377162,0.9983404915944757,0.9690721649484536,0.9965396277160512,0.9722222222222222,0.9986263092906029,0.6641003749682568,,annthyroid,T2,I
ThreeSigma,0.2,13,7200,1440,0.9688581314878892,0.9975743349582259,0.9480968858131488,0.9905961500793834,0.9688581314878892,0.9987315974253711,0.37771550205070525,,annthyroid,T2,I
ThreeSigma,0.2,14,7200,1440,0.9724137931034482,0.9969978077122563,0.9103448275862069,0.9949271778299551,0.9342560553633218,0.9969305861462238,0.6442859230446629,,annthyroid,T2,I
ThreeSigma,0.2,15,7200,1440,0.9342560553633218,0.99580961231083,0.9236111111111112,0.989195673657136,0.9513888888888888,0.994026226725103,0.756535368040204,,annthyroid,T2,I
ThreeSigma,0.2,16,7200,1440,0.9652777777777778,0.9964465882170794,0.9241379310344827,0.9949861649531948,0.9621993127147767,0.9987948697656744,0.45494878897443414,,annthyroid,T2,I
ThreeSigma,0.2,17,7200,1440,0.9178082191780822,0.9939182504076891,0.9444444444444444,0.9891792347429041,0.9517241379310345,0.9968236289250639,0.6918818800477311,,annthyroid,T2,I
ThreeSigma,0.2,18,7200,1440,0.9097222222222222,0.9916583283199681,0.9828178694158075,0.9979447002440511,0.9930555555555556,0.9988333609244244,1.0490259079961106,,annthyroid,T2,I
ThreeSigma,0.2,19,7200,1440,0.9513888888888888,0.9955010817426614,0.9791666666666666,0.9956652657737595,0.9415807560137457,0.9939763124443702,0.5646641959901899,,annthyroid,T2,I
ThreeSigma,0.2,20,7200,1440,0.9513888888888888,0.9928609901548059,0.9688581314878892,0.9974580753085243,0.9236111111111112,0.9937929144099373,0.4807788640027866,,annthyroid,T2,I
ThreeSigma,0.2,21,7200,1440,0.9619377162629758,0.99494459833214,0.9305555555555556,0.9961798647230369,0.9930555555555556,0.9990236715351922,0.4285463719861582,,annthyroid,T2,I
ThreeSigma,0.2,22,7200,1440,0.9666666666666667,0.9983928893320032,0.9759450171821306,0.9984189889019015,0.9791666666666666,0.9972752036125875,0.5816910160356201,,annthyroid,T2,I
ThreeSigma,0.2,23,7200,1440,0.9757785467128027,0.9984372763991691,0.9305555555555556,0.9953929488745311,0.9583333333333334,0.9976924713053403,0.6611775489873253,,annthyroid,T2,I
ThreeSigma,0.2,24,7200,1440,0.9791666666666666,0.9966054824263221,0.9484536082474226,0.995498551433397,0.9619377162629758,0.9974980436056267,0.4832649020245299,,annthyroid,T2,I
ThreeSigma,0.2,25,7200,1440,0.9183673469387755,0.9938476565612686,0.9278350515463918,0.9938091253406733,0.9757785467128027,0.9986601326584428,0.9308962430222891,,annthyroid,T2,I
ThreeSigma,0.2,26,7200,1440,0.9724137931034482,0.9987733841709266,0.9236111111111112,0.994769702917629,0.9513888888888888,0.9949052397574063,0.815932362980675,,annthyroid,T2,I
ThreeSigma,0.2,27,7200,1440,0.958904109589041,0.9952841145793094,0.9724137931034482,0.9983415086535489,0.9722222222222222,0.9976128197491791,0.4555617459700443,,annthyroid,T2,I
ThreeSigma,0.2,28,7200,1440,0.9757785467128027,0.998189004227523,0.9550173010380623,0.9977960468755502,0.9690721649484536,0.9967345044528444,0.7692986250040121,,annthyroid,T2,I
ThreeSigma,0.2,29,7200,1440,0.9688581314878892,0.9953633487225078,0.9134948096885813,0.9917517799249302,0.9513888888888888,0.9948748447172726,0.5402346129994839,,annthyroid,T2,I
BoxPlot,0.05,0,7200,360,0.9444444444444444,0.9584781082299454,0.9444444444444444,0.9331423060424712,0.9722222222222222,0.9959405576375088,0.609494419011753,,annthyroid,T2,I
BoxPlot,0.05,1,7200,360,0.9166666666666666,0.9100935397603974,0.958904109589041,0.9411129009867782,0.9722222222222222,0.9631574363778779,1.6533260760479607,,annthyroid,T2,I
BoxPlot,0.05,2,7200,360,0.9722222222222222,0.9882439040935579,0.9444444444444444,0.9963015223332776,0.9722222222222222,0.9898443399600567,0.9883742700330913,,annthyroid,T2,I
BoxPlot,0.05,3,7200,360,0.9444444444444444,0.9575760855256237,0.9722222222222222,0.9668527393104565,0.8888888888888888,0.9430232855340326,0.9129442080156878,,annthyroid,T2,I
BoxPlot,0.05,4,7200,360,1.0,0.961937570022703,0.9444444444444444,0.9762533065914409,0.9444444444444444,0.9261893944955455,0.41778012801660225,,annthyroid,T2,I
BoxPlot,0.05,5,7200,360,0.9166666666666666,0.9338034369088458,0.9166666666666666,0.9769386879704881,0.9444444444444444,0.9715647254078266,0.5522248869528994,,annthyroid,T2,I
BoxPlot,0.05,6,7200,360,0.8611111111111112,0.8606244152938173,0.9722222222222222,0.9388526401781344,1.0,0.9802479075947985,0.32136224501300603,,annthyroid,T2,I
BoxPlot,0.05,7,7200,360,0.9863013698630136,0.9961120161698539,1.0,0.987419905190956,0.9444444444444444,0.9311420670887367,1.2168214549892582,,annthyroid,T2,I
