method,p,rep,n_full,n_sample,rho,rho_tilde,time_fit_s,time_score_s,time_total_s,dataset,part,n_vs_psi
MAD,0.3,22,5000,1500,1.0,0.9846912403909005,0.004564167000353336,0.0018006979953497648,0.00812575698364526,pendigits,A,
MAD,0.3,23,5000,1500,1.0,0.9905371322321534,0.007045531994663179,0.001888031023554504,0.010755070019513369,pendigits,A,
MAD,0.3,24,5000,1500,1.0,0.9809009520164036,0.004607276991009712,0.0016647829907014966,0.010201893048360944,pendigits,A,
MAD,0.3,25,5000,1500,1.0,0.9837237837617006,0.006298081949353218,0.001813987037166953,0.010084692970849574,pendigits,A,
MAD,0.3,26,5000,1500,1.0,0.9845830290943972,0.0049917909782379866,0.0016982140950858593,0.008417943026870489,pendigits,A,
MAD,0.3,27,5000,1500,1.0,0.9941525472349985,0.005051266984082758,0.0016460770275443792,0.008483350044116378,pendigits,A,
MAD,0.3,28,5000,1500,1.0,0.9799620003807975,0.005175705999135971,0.0018176479497924447,0.008791550993919373,pendigits,A,
MAD,0.3,29,5000,1500,1.0,0.9952573757307607,0.005698803928680718,0.0018997489241883159,0.0093188660684973,pendigits,A,
MAD,0.5,0,5000,2500,0.984,0.9870583970897041,0.00694916199427098,0.0027600459288805723,0.011725937016308308,pendigits,A,
MAD,0.5,1,5000,2500,1.0,0.9979142988382228,0.005113597027957439,0.003199791070073843,0.010362138040363789,pendigits,A,
MAD,0.5,2,5000,2500,1.0,0.9954776811916721,0.004910856019705534,0.003028213046491146,0.01011554803699255,pendigits,A,
MAD,0.5,3,5000,2500,1.0,0.997088008567506,0.004576943931169808,0.002554142032749951,0.00911822309717536,pendigits,A,
MAD,0.5,4,5000,2500,1.0,0.9940150342391807,0.004647035035304725,0.0026742060435935855,0.009404152981005609,pendigits,A,
MAD,0.5,5,5000,2500,1.0,0.9915075553941133,0.004686107044108212,0.002769073937088251,0.009565522079356015,pendigits,A,
MAD,0.5,6,5000,2500,1.0,0.9893540608673592,0.00464676006231457,0.003061327035538852,0.010543353040702641,pendigits,A,
MAD,0.5,7,5000,2500,1.0,0.9895910892988216,0.005054739071056247,0.0028380879666656256,0.010214263922534883,pendigits,A,
MAD,0.5,8,5000,2500,1.0,0.9948292941808382,0.00490614993032068,0.004367385059595108,0.012315526022575796,pendigits,A,
MAD,0.5,9,5000,2500,1.0,0.9962868024646455,0.005183786968700588,0.003878348972648382,0.011160808964632452,pendigits,A,
MAD,0.5,10,5000,2500,1.0,0.9974421994286745,0.004854976898059249,0.003102764952927828,0.010028651915490627,pendigits,A,
MAD,0.5,11,5000,2500,1.0,0.9902990106206453,0.004642440006136894,0.002849404001608491,0.009706998011097312,pendigits,A,
MAD,0.5,12,5000,2500,1.0,0.9934570488258223,0.004768533050082624,0.0028825290501117706,0.00987967406399548,pendigits,A,
MAD,0.5,13,5000,2500,1.0,0.9950748113948663,0.008372201002202928,0.0037937950110062957,0.014005022938363254,pendigits,A,
MAD,0.5,14,5000,2500,1.0,0.9966794730938793,0.004858361906372011,0.0028490289114415646,0.009933923021890223,pendigits,A,
MAD,0.5,15,5000,2500,1.0,0.9970061234535262,0.004742564982734621,0.0026150629855692387,0.009372493950650096,pendigits,A,
MAD,0.5,16,5000,2500,1.0,0.9923090332090468,0.004707883927039802,0.004640426021069288,0.011516647064127028,pendigits,A,
MAD,0.5,17,5000,2500,1.0,0.9934907702817684,0.004737576004117727,0.009518631035462022,0.016300494084134698,pendigits,A,
MAD,0.5,18,5000,2500,1.0,0.9984205632357845,0.004801220027729869,0.003921459894627333,0.012026001000776887,pendigits,A,
MAD,0.5,19,5000,2500,1.0,0.9968509267069017,0.005324041936546564,0.0031483659986406565,0.01075794908683747,pendigits,A,
MAD,0.5,20,5000,2500,1.0,0.9889762546167106,0.0056991130113601685,0.0029327989323064685,0.010733064031228423,pendigits,A,
MAD,0.5,21,5000,2500,1.0,0.9973848355776695,0.004742242977954447,0.008897323976270854,0.01585763704497367,pendigits,A,
MAD,0.5,22,5000,2500,1.0,0.9982543921947731,0.004704661085270345,0.004361227038316429,0.011032990994863212,pendigits,A,
MAD,0.5,23,5000,2500,1.0,0.9931858912500129,0.00967206503264606,0.003677845001220703,0.015581433079205453,pendigits,A,
MAD,0.5,24,5000,2500,1.0,0.9938347899355091,0.0074480719631537795,0.003182697924785316,0.012863573036156595,pendigits,A,
MAD,0.5,25,5000,2500,0.964,0.9750840469822748,0.0058379919501021504,0.0037488900125026703,0.01574287796393037,pendigits,A,
MAD,0.5,26,5000,2500,1.0,0.9887648435462796,0.015063661034218967,0.0033582589821889997,0.021280957967974246,pendigits,A,
MAD,0.5,27,5000,2500,1.0,0.9862532400655502,0.005679599940776825,0.0029925210401415825,0.01169989095069468,pendigits,A,
MAD,0.5,28,5000,2500,1.0,0.9879431723486055,0.0053905610693618655,0.0029796240851283073,0.012212642934173346,pendigits,A,
MAD,0.5,29,5000,2500,1.0,0.9968187406909533,0.0067397840321063995,0.0035670179640874267,0.01398298004642129,pendigits,A,
ECOD,0.02,0,5000,100,0.8,0.9615961596159615,1.1965308430371806,0.011268930044025183,1.209015576983802,pendigits,A,
