method,method_class,p,rep,n_full,n_sample,rho,rho_tilde,time_fit_full_s,time_fit_sample_s,time_score_s,time_total_s,dataset
MAD,I,0.01,4,286048,2860,0.986013986013986,0.9988501468011461,0.15700596699025482,0.0031868370715528727,0.15700596699025482,0.16272542101796716,covertype
MAD,I,0.01,5,286048,2860,0.9825174825174825,0.9982342907130791,0.11995774100068957,0.004125477047637105,0.11995774100068957,0.12572084099519998,covertype
MAD,I,0.01,6,286048,2860,0.9545454545454546,0.9966730281300031,0.12645983102265745,0.004022007924504578,0.12645983102265745,0.13404987403191626,covertype
MAD,I,0.01,7,286048,2860,0.9685314685314685,0.9960013671401421,0.3940225869882852,0.017230849945917726,0.3940225869882852,0.41421791398897767,covertype
MAD,I,0.01,8,286048,2860,0.9615384615384616,0.9964782096564081,0.1745735480217263,0.005333754001185298,0.1745735480217263,0.18287160492036492,covertype
MAD,I,0.01,9,286048,2860,0.9895104895104895,0.9970996978946005,0.13128792494535446,0.002479749033227563,0.13128792494535446,0.13661324803251773,covertype
MAD,I,0.05,0,286048,14302,0.9864064133844546,0.9996325737519709,0.10855887702200562,0.012834351975470781,0.10855887702200562,0.1261144740274176,covertype
MAD,I,0.05,1,286048,14302,0.9965083798882681,0.9995759318896709,0.11742754001170397,0.015520252985879779,0.11742754001170397,0.14210294501390308,covertype
MAD,I,0.05,2,286048,14302,0.9706293706293706,0.9990954519496764,0.34449715190567076,0.029874245054088533,0.34449715190567076,0.39234042388852686,covertype
MAD,I,0.05,3,286048,14302,0.9846689895470383,0.9995572561247376,0.19843098998535424,0.017509425058960915,0.19843098998535424,0.22676579502876848,covertype
MAD,I,0.05,4,286048,14302,0.9860529986052998,0.9993177879241862,0.12418119492940605,0.011185611016117036,0.12418119492940605,0.1394953620620072,covertype
MAD,I,0.05,5,286048,14302,0.9993006993006993,0.9995924742368674,0.11880175303667784,0.011029478977434337,0.11880175303667784,0.13447535503655672,covertype
MAD,I,0.05,6,286048,14302,0.9874125874125874,0.9993577018402405,0.19862522394396365,0.06562598189339042,0.19862522394396365,0.2721523270010948,covertype
MAD,I,0.05,7,286048,14302,0.9800768961901433,0.9993212389340187,0.2229522850830108,0.014769097091630101,0.2229522850830108,0.26818564895074815,covertype
MAD,I,0.05,8,286048,14302,0.9853862212943633,0.999439201495038,0.171789908898063,0.016136332997120917,0.171789908898063,0.1970749630127102,covertype
MAD,I,0.05,9,286048,14302,0.9923558026407228,0.9995892249062833,0.12482151004951447,0.012130515067838132,0.12482151004951447,0.1431078960886225,covertype
MAD,I,0.1,0,286048,28604,0.9963421006793242,0.9996996975843131,0.13249130989424884,0.056503148982301354,0.13249130989424884,0.2576169960666448,covertype
MAD,I,0.1,1,286048,28604,0.9916083916083916,0.9994898840824069,0.4076200359268114,0.0638143690302968,0.4076200359268114,0.4876449089497328,covertype
MAD,I,0.1,2,286048,28604,0.9903930131004367,0.9996586087444199,0.14511532499454916,0.025328991003334522,0.14511532499454916,0.18077793007250875,covertype
MAD,I,0.1,3,286048,28604,0.9977276699877644,0.9998222851564309,0.11485963093582541,0.02930846600793302,0.11485963093582541,0.1573753870325163,covertype
MAD,I,0.1,4,286048,28604,0.9860188745193988,0.9992149181684615,0.17324684304185212,0.05748673004563898,0.17324684304185212,0.2516905589727685,covertype
MAD,I,0.1,5,286048,28604,0.9966800629040713,0.9999070640740377,0.45954062801320106,0.0350969519931823,0.45954062801320106,0.5141624320531264,covertype
MAD,I,0.1,6,286048,28604,0.9867179307934288,0.9996296238968336,0.12534127302933484,0.02757111599203199,0.12534127302933484,0.16642825095914304,covertype
MAD,I,0.1,7,286048,28604,0.9818245368752184,0.9994727505869315,0.15832194301765412,0.04720102401915938,0.15832194301765412,0.23392182600218803,covertype
MAD,I,0.1,8,286048,28604,0.9909628084810567,0.999519356798369,0.2606248479569331,0.11618541995994747,0.2606248479569331,0.45179972297046334,covertype
MAD,I,0.1,9,286048,28604,0.9980779311549887,0.9996294225752642,0.1618337129475549,0.024300156976096332,0.1618337129475549,0.19590800197329372,covertype
ChiSquare,I,0.01,0,286048,2860,0.9965034965034965,0.9997810380461166,0.04828443797305226,0.0025147650158032775,0.04828443797305226,0.0533850840292871,covertype
ChiSquare,I,0.01,1,286048,2860,0.986013986013986,0.9994851552287313,0.05677762604318559,0.0016449399990960956,0.05677762604318559,0.060847343993373215,covertype
ChiSquare,I,0.01,2,286048,2860,0.986013986013986,0.9993003240707191,0.05619505594950169,0.0031423679320141673,0.05619505594950169,0.06207814801018685,covertype
ChiSquare,I,0.01,3,286048,2860,0.9790209790209791,0.9989120300344846,0.135415093973279,0.002859325031749904,0.135415093973279,0.1407963769743219,covertype
ChiSquare,I,0.01,4,286048,2860,0.9790209790209791,0.9994540801334628,0.06909098592586815,0.00960191199555993,0.06909098592586815,0.08168292394839227,covertype
ChiSquare,I,0.01,5,286048,2860,0.9790209790209791,0.9996866996378828,0.09982582996599376,0.0029100070241838694,0.09982582996599376,0.10497130593284965,covertype
ChiSquare,I,0.01,6,286048,2860,0.993006993006993,0.9997113211878628,0.1024915270972997,0.0018612219719216228,0.1024915270972997,0.10749591398052871,covertype
ChiSquare,I,0.01,7,286048,2860,0.9825174825174825,0.998645121742623,0.0983450539642945,0.002944303909316659,0.0983450539642945,0.10383396199904382,covertype
ChiSquare,I,0.01,8,286048,2860,0.9790209790209791,0.9994497594743766,0.06665264291223139,0.009481409913860261,0.06665264291223139,0.0802364710252732,covertype
