method,p,rep,n_full,n_sample,rho,rho_tilde,time_fit_full_s,time_fit_sample_s,time_score_s,time_total_s,dataset,tier,method_class
BoxPlot,0.1,43,240,24,1.0,0.7356934882800045,0.0004761020536534488,0.0009127759840339422,6.82790414430201e-05,0.003336849040351808,vertebral,T1,I
BoxPlot,0.1,44,240,24,0.15384615384615385,0.5334192370680184,0.0017971459892578423,0.000356422970071435,7.422303315252066e-05,0.004644046013709158,vertebral,T1,I
BoxPlot,0.1,45,240,24,1.0,1.0,0.0003505540080368519,0.0011102950084023178,5.8865000028163195e-05,0.0026173809892497957,vertebral,T1,I
BoxPlot,0.1,46,240,24,1.0,0.8342976876265136,0.011681802046950907,0.00036886101588606834,8.118298137560487e-05,0.013394239009357989,vertebral,T1,I
BoxPlot,0.1,47,240,24,0.15384615384615385,,0.00047801999608054757,0.00039311801083385944,7.465999806299806e-05,0.0011556220124475658,vertebral,T1,I
BoxPlot,0.1,48,240,24,0.15384615384615385,0.6026258331144145,0.0004482140066102147,0.0003968789824284613,7.850897964090109e-05,0.0021696690237149596,vertebral,T1,I
BoxPlot,0.1,49,240,24,1.0,-0.04347826086956522,0.00043153302976861596,0.000345521024428308,6.825302261859179e-05,0.0019686860032379627,vertebral,T1,I
MAD,0.1,0,240,24,0.5,0.9208695652173912,0.00031483900966122746,0.0001953219762071967,4.259299021214247e-05,0.001588962972164154,vertebral,T1,I
MAD,0.1,1,240,24,1.0,0.9443478260869566,0.0003178720362484455,0.00020109699107706547,4.4810003601014614e-05,0.0019061919883824885,vertebral,T1,I
MAD,0.1,2,240,24,1.0,0.8643478260869566,0.0002711439738050103,0.00019008800154551864,4.3801963329315186e-05,0.006615024991333485,vertebral,T1,I
MAD,0.1,3,240,24,0.5,0.5382608695652172,0.000270417018327862,0.00016746495384722948,3.920099698007107e-05,0.0016766730113886297,vertebral,T1,I
MAD,0.1,4,240,24,0.5,0.8443478260869565,0.00027287000557407737,0.00019410898676142097,3.774202195927501e-05,0.0015836249804124236,vertebral,T1,I
MAD,0.1,5,240,24,0.5,0.9052173913043478,0.00026255095144733787,0.00020213000243529677,4.075904143974185e-05,0.001650382997468114,vertebral,T1,I
MAD,0.1,6,240,24,0.5,0.877391304347826,0.0008701220504008234,0.00033399101812392473,6.86200219206512e-05,0.002680852951016277,vertebral,T1,I
MAD,0.1,7,240,24,1.0,0.9382608695652173,0.0002763230004347861,0.00017803598893806338,4.016095772385597e-05,0.0015712910098955035,vertebral,T1,I
MAD,0.1,8,240,24,1.0,0.9773913043478261,0.0002406349522061646,0.00016269803745672107,3.628496779128909e-05,0.0014494649949483573,vertebral,T1,I
MAD,0.1,9,240,24,1.0,0.9426086956521739,0.0002532629878260195,0.00016720901476219296,3.5353004932403564e-05,0.0015317290090024471,vertebral,T1,I
MAD,0.1,10,240,24,1.0,0.6382608695652173,0.00026200199499726295,0.00017997896065935493,3.9022997952997684e-05,0.0015235189930535853,vertebral,T1,I
MAD,0.1,11,240,24,0.5,0.9095652173913044,0.00020977196982130408,0.00014617800479754806,3.0911003705114126e-05,0.006578729022294283,vertebral,T1,I
MAD,0.1,12,240,24,0.5,0.868695652173913,0.0014008189900778234,0.000209511024877429,4.7290988732129335e-05,0.002762716030701995,vertebral,T1,I
MAD,0.1,13,240,24,0.5,0.686086956521739,0.00020334299188107252,0.00014918501256033778,3.113900311291218e-05,0.0014317099703475833,vertebral,T1,I
MAD,0.1,14,240,24,0.5,0.9486956521739129,0.00024669698905199766,0.00014788302360102534,3.1723000574856997e-05,0.0013610610039904714,vertebral,T1,I
MAD,0.1,15,240,24,0.5,0.9234782608695651,0.00025452999398112297,0.0001933739986270666,3.929703962057829e-05,0.0018318730290047824,vertebral,T1,I
MAD,0.1,16,240,24,1.0,0.9269565217391305,0.0005184490000829101,0.00016992795281112194,3.638002090156078e-05,0.001696718973107636,vertebral,T1,I
MAD,0.1,17,240,24,1.0,0.8643478260869566,0.00022841797908768058,0.00016086502000689507,3.369705518707633e-05,0.004477842012420297,vertebral,T1,I
MAD,0.1,18,240,24,1.0,0.8434782608695651,0.0003282609977759421,0.006193802983034402,3.243202809244394e-05,0.007730781042482704,vertebral,T1,I
MAD,0.1,19,240,24,0.5,0.7530434782608695,0.00021130399545654655,0.00015684199752286077,3.065000055357814e-05,0.0015388530446216464,vertebral,T1,I
MAD,0.1,20,240,24,0.0,0.6686956521739129,0.00026700401213020086,0.00018526404164731503,4.4513028115034103e-05,0.0015285999979823828,vertebral,T1,I
MAD,0.1,21,240,24,0.0,0.7321739130434782,0.00022953597363084555,0.0001588989980518818,3.3483956940472126e-05,0.001339952985290438,vertebral,T1,I
MAD,0.1,22,240,24,1.0,0.8426086956521738,0.00022719003027305007,0.0001588740269653499,3.38110257871449e-05,0.001404226990416646,vertebral,T1,I
MAD,0.1,23,240,24,0.0,0.7452173913043478,0.0002566410112194717,0.0008900259854272008,4.6155008021742105e-05,0.002388380002230406,vertebral,T1,I
MAD,0.1,24,240,24,1.0,0.8678260869565216,0.0002875000354833901,0.00018169096438214183,3.880803706124425e-05,0.0016804549959488213,vertebral,T1,I
MAD,0.1,25,240,24,0.0,0.8104347826086956,0.000287707953248173,0.00020260101882740855,4.0696992073208094e-05,0.0017342189676128328,vertebral,T1,I
MAD,0.1,26,240,24,0.5,0.8026086956521737,0.0002634159754961729,0.0001645769807510078,3.642600495368242e-05,0.001530003035441041,vertebral,T1,I
MAD,0.1,27,240,24,0.5,0.7947826086956521,0.00025269301841035485,0.00018502702005207539,3.783201100304723e-05,0.0015682840021327138,vertebral,T1,I
MAD,0.1,28,240,24,1.0,0.7747826086956522,0.00027219904586672783,0.00019123300444334745,4.031194839626551e-05,0.0022717740503139794,vertebral,T1,I
MAD,0.1,29,240,24,0.0,0.9660869565217389,0.0002637340221554041,0.00017329200636595488,3.9619975723326206e-05,0.0015229569980874658,vertebral,T1,I
MAD,0.1,30,240,24,0.5,0.9634782608695651,0.0002472560154274106,0.0001930929720401764,3.80860292352736e-05,0.0015039530117064714,vertebral,T1,I
MAD,0.1,31,240,24,0.5,0.7823440063178698,0.00024108600337058306,0.00018906599143519998,3.873498644679785e-05,0.0018043969757854939,vertebral,T1,I
MAD,0.1,32,240,24,1.0,0.9069565217391303,0.0017211849917657673,0.0019096949836239219,0.0001510059810243547,0.0054847439751029015,vertebral,T1,I
MAD,0.1,33,240,24,0.5,0.9860869565217389,0.0003014979884028435,0.00018507399363443255,4.0480983443558216e-05,0.002585451991762966,vertebral,T1,I
MAD,0.1,34,240,24,0.5,0.6034782608695652,0.0009955900022760034,0.00023355899611487985,0.00021311501041054726,0.005803417006973177,vertebral,T1,I
MAD,0.1,35,240,24,1.0,0.9086956521739129,0.0002640310558490455,0.000837619008962065,3.1355011742562056e-05,0.0023951430339366198,vertebral,T1,I
MAD,0.1,36,240,24,1.0,0.9267232226033243,0.0002704859944060445,0.0001828189706429839,4.0965969674289227e-05,0.001560682023409754,vertebral,T1,I
MAD,0.1,37,240,24,0.5,0.9713043478260868,0.0006532840197905898,0.00016300997231155634,3.618997288867831e-05,0.0029160549747757614,vertebral,T1,I
MAD,0.1,38,240,24,1.0,0.9556521739130434,0.00036600802559405565,0.0002914570504799485,4.527001874521375e-05,0.0027171819820068777,vertebral,T1,I
MAD,0.1,39,240,24,0.0,0.917391304347826,0.0003884980105794966,0.0002603999455459416,0.000108357984572649,0.0023407789994962513,vertebral,T1,I
MAD,0.1,40,240,24,1.0,0.9817391304347826,0.0002668050001375377,0.00017747399397194386,3.930903039872646e-05,0.001607157988473773,vertebral,T1,I
MAD,0.1,41,240,24,0.5,0.9686956521739128,0.00026590103516355157,0.00017518398817628622,3.73210059478879e-05,0.0065907969838008285,vertebral,T1,I
MAD,0.1,42,240,24,0.5,0.9399999999999998,0.00038174400106072426,0.00019451399566605687,0.00010591495083644986,0.002004973008297384,vertebral,T1,I
MAD,0.1,43,240,24,1.0,0.9382608695652173,0.0017152809887193143,0.0016050440026447177,3.9413978811353445e-05,0.008624678011983633,vertebral,T1,I
MAD,0.1,44,240,24,0.5,0.7399999999999999,0.0002857209765352309,0.0012841619900427759,4.055403405800462e-05,0.003533897048328072,vertebral,T1,I
MAD,0.1,45,240,24,1.0,0.9408695652173911,0.0005626410129480064,0.00019219901878386736,4.942098166793585e-05,0.002214383042883128,vertebral,T1,I
MAD,0.1,46,240,24,1.0,0.8617391304347826,0.00028876104624941945,0.00019483000505715609,4.099897341802716e-05,0.0016507119871675968,vertebral,T1,I
MAD,0.1,47,240,24,1.0,0.8756521739130434,0.00025528401602059603,0.00019014597637578845,4.0417013224214315e-05,0.003817182034254074,vertebral,T1,I
MAD,0.1,48,240,24,0.5,0.8852173913043477,0.0003186789690516889,0.0001823819475248456,4.367699148133397e-05,0.0047285930486395955,vertebral,T1,I
MAD,0.1,49,240,24,1.0,0.44,0.0003427630290389061,0.00021596800070255995,4.7032954171299934e-05,0.0018695060280151665,vertebral,T1,I
ChiSquare,0.1,0,240,24,0.5,0.983478260869565,0.00013967097038403153,9.437196422368288e-05,4.4091022573411465e-05,0.0013532059965655208,vertebral,T1,I
