method,k,p,kp_inv_sqrt,rep,n_full,n_sample,rho,rho_tilde,time_fit_s,time_score_s,time_total_s,dataset
LOF,3,0.05,2.581988897471611,26,214,10,0.0,0.1505597584019682,0.004667410044930875,0.0026339959586039186,0.00851479300763458,glass
LOF,3,0.05,2.581988897471611,27,214,10,1.0,0.1313141338909517,0.006139427074231207,0.003726774943061173,0.011158962966874242,glass
LOF,3,0.05,2.581988897471611,28,214,10,1.0,0.2839993181877105,0.004888014984317124,0.0030896299285814166,0.009147441945970058,glass
LOF,3,0.05,2.581988897471611,29,214,10,0.0,0.37660779150979,0.00415460707154125,0.0026886239647865295,0.007870145025663078,glass
LOF,3,0.1,1.8257418583505536,0,214,21,0.5,0.45123575213443473,0.004805870004929602,0.003057421068660915,0.009033864014782012,glass
LOF,3,0.1,1.8257418583505536,1,214,21,0.5,0.25877785208862397,0.004310733987949789,0.0027298310305923223,0.00823731196578592,glass
LOF,3,0.1,1.8257418583505536,2,214,21,0.5,0.2987983268989857,0.004407354048453271,0.002580869011580944,0.00812419899739325,glass
LOF,3,0.1,1.8257418583505536,3,214,21,0.5,0.7012795777081738,0.004950033035129309,0.0027097450802102685,0.008777442038990557,glass
LOF,3,0.1,1.8257418583505536,4,214,21,0.5,0.4911975000048339,0.003720969893038273,0.0027335990453138947,0.007560575031675398,glass
LOF,3,0.1,1.8257418583505536,5,214,21,0.5,0.025440361825334202,0.004720091004855931,0.002796738059259951,0.008623064029961824,glass
LOF,3,0.1,1.8257418583505536,6,214,21,0.0,0.26666701919121616,0.004489843966439366,0.0027808150043711066,0.008431292022578418,glass
LOF,3,0.1,1.8257418583505536,7,214,21,0.0,0.2326505657595977,0.004854939063079655,0.003927487996406853,0.010207833023741841,glass
LOF,3,0.1,1.8257418583505536,8,214,21,0.5,0.1770839337979941,0.004667298984713852,0.0025025479262694716,0.008228950086049736,glass
LOF,3,0.1,1.8257418583505536,9,214,21,0.5,0.5443909635684095,0.004717906937003136,0.0027142319595441222,0.008654669974930584,glass
LOF,3,0.1,1.8257418583505536,10,214,21,0.5,0.11472213800516148,0.004871663986705244,0.0024312420282512903,0.008395873941481113,glass
LOF,3,0.1,1.8257418583505536,11,214,21,0.5,0.5183742304379236,0.004627667949534953,0.00304093596059829,0.008953706012107432,glass
LOF,3,0.1,1.8257418583505536,12,214,21,0.0,0.24618383890155562,0.005018276046030223,0.0026597350370138884,0.008794837980531156,glass
LOF,3,0.1,1.8257418583505536,13,214,21,0.5,0.42480117204112233,0.004520799033343792,0.002834081999026239,0.008649588911794126,glass
LOF,3,0.1,1.8257418583505536,14,214,21,0.5,0.32932031876753515,0.004532000049948692,0.002551275072619319,0.008233864093199372,glass
LOF,3,0.1,1.8257418583505536,15,214,21,0.5,0.2616184733545467,0.004663735977374017,0.0026812029536813498,0.008542164927348495,glass
LOF,3,0.1,1.8257418583505536,16,214,21,0.0,0.24242528483790438,0.0045383969554677606,0.002901033964008093,0.008558720001019537,glass
LOF,3,0.1,1.8257418583505536,17,214,21,0.0,0.07927227144540407,0.0059212560299783945,0.0034026309149339795,0.010372180957347155,glass
LOF,3,0.1,1.8257418583505536,18,214,21,0.5,-0.08641977132982576,0.004312577075324953,0.0030857499223202467,0.008463629055768251,glass
LOF,3,0.1,1.8257418583505536,19,214,21,0.0,0.1209757696818688,0.00448719400446862,0.002476456924341619,0.00800807902123779,glass
LOF,3,0.1,1.8257418583505536,20,214,21,1.0,0.14923491996741964,0.0045317449839785695,0.00245038908906281,0.00806152995210141,glass
LOF,3,0.1,1.8257418583505536,21,214,21,0.5,0.25357628722252096,0.004548514960333705,0.0027349271113052964,0.008676141034811735,glass
LOF,3,0.1,1.8257418583505536,22,214,21,0.5,0.4995162738139224,0.004954856005497277,0.002666390035301447,0.008755610906518996,glass
LOF,3,0.1,1.8257418583505536,23,214,21,0.5,0.3816356381109231,0.004590322030708194,0.0027695080498233438,0.008965126005932689,glass
LOF,3,0.1,1.8257418583505536,24,214,21,0.0,-0.10803802842568867,0.0048598789144307375,0.002785066026262939,0.008902368950657547,glass
LOF,3,0.1,1.8257418583505536,25,214,21,0.5,0.1881424049918281,0.004884004010818899,0.0028384060133248568,0.009021484991535544,glass
LOF,3,0.1,1.8257418583505536,26,214,21,0.0,0.21217079825734478,0.005063196993432939,0.0023357279133051634,0.008493992034345865,glass
LOF,3,0.1,1.8257418583505536,27,214,21,0.5,0.29625150861239563,0.004011022043414414,0.0036021039122715592,0.008746615028940141,glass
LOF,3,0.1,1.8257418583505536,28,214,21,0.5,0.561951962393197,0.004497100948356092,0.002642985084094107,0.008283490897156298,glass
LOF,3,0.1,1.8257418583505536,29,214,21,0.5,0.19856622826535567,0.00455451593734324,0.0021664559608325362,0.00786770903505385,glass
LOF,3,0.2,1.2909944487358056,0,214,42,0.25,-0.056492138852117235,0.004341803025454283,0.0028047149535268545,0.00836881494615227,glass
LOF,3,0.2,1.2909944487358056,1,214,42,0.0,0.2678289445593822,0.004636317025870085,0.0028744640294462442,0.008367469068616629,glass
LOF,3,0.2,1.2909944487358056,2,214,42,0.25,0.35192090519978997,0.00447817100211978,0.0026095439679920673,0.008096689940430224,glass
LOF,3,0.2,1.2909944487358056,3,214,42,0.0,0.38783041941382695,0.00376573100220412,0.002627645037136972,0.007629613042809069,glass
LOF,3,0.2,1.2909944487358056,4,214,42,0.5,0.35725589316608025,0.004031675052829087,0.002853779005818069,0.008046315051615238,glass
LOF,3,0.2,1.2909944487358056,5,214,42,0.5,0.3986202648414694,0.004423431935720146,0.002956824959255755,0.009097634931094944,glass
LOF,3,0.2,1.2909944487358056,6,214,42,0.25,0.25862138854966693,0.004218916059471667,0.0025579569628462195,0.00786907400470227,glass
LOF,3,0.2,1.2909944487358056,7,214,42,0.25,0.34995540535050396,0.004449772997759283,0.0029562299605458975,0.008726035943254828,glass
LOF,3,0.2,1.2909944487358056,8,214,42,0.5,0.32419511646262844,0.006727934931404889,0.0026551339542493224,0.01048535795416683,glass
LOF,3,0.2,1.2909944487358056,9,214,42,0.0,0.6399287785367587,0.004544371040537953,0.002893953933380544,0.008516227011568844,glass
LOF,3,0.2,1.2909944487358056,10,214,42,0.25,0.3031680135939276,0.005579065997153521,0.0033080230932682753,0.010136049939319491,glass
LOF,3,0.2,1.2909944487358056,11,214,42,0.5,0.22875791700790477,0.004984887083992362,0.002847256953828037,0.008952946052886546,glass
LOF,3,0.2,1.2909944487358056,12,214,42,0.25,0.45896189517472374,0.0043469860684126616,0.0024580550380051136,0.007628242950886488,glass
LOF,3,0.2,1.2909944487358056,13,214,42,0.5,0.26110571030579716,0.004142520017921925,0.002775467000901699,0.008145014988258481,glass
LOF,3,0.2,1.2909944487358056,14,214,42,0.25,0.4601721494409446,0.00488275708630681,0.0030391020700335503,0.009228867944329977,glass
LOF,3,0.2,1.2909944487358056,15,214,42,0.25,0.3865369336469044,0.005171647993847728,0.002892585936933756,0.009248362970538437,glass
LOF,3,0.2,1.2909944487358056,16,214,42,0.25,0.40921068667834354,0.0051364820683375,0.0031455319840461016,0.009639641968533397,glass
LOF,3,0.2,1.2909944487358056,17,214,42,0.0,0.5749919810762522,0.00485219294205308,0.0030853559728711843,0.00918220600578934,glass
LOF,3,0.2,1.2909944487358056,18,214,42,0.25,0.3538424310529998,0.005950974998995662,0.002927310997620225,0.009984698961488903,glass
LOF,3,0.2,1.2909944487358056,19,214,42,0.25,0.4181012002728587,0.004679133999161422,0.0030681589851155877,0.008892950019799173,glass
LOF,3,0.2,1.2909944487358056,20,214,42,0.5,0.5237130547805886,0.004647220019251108,0.002787446021102369,0.008504271972924471,glass
LOF,3,0.2,1.2909944487358056,21,214,42,0.5,0.2627098340569803,0.004747226019389927,0.0028776079416275024,0.008794149965979159,glass
LOF,3,0.2,1.2909944487358056,22,214,42,0.5,0.48766058463434847,0.004888977040536702,0.002903325017541647,0.009289745008572936,glass
LOF,3,0.2,1.2909944487358056,23,214,42,0.75,0.39521784771691565,0.005323581979610026,0.003021553042344749,0.010528268991038203,glass
LOF,3,0.2,1.2909944487358056,24,214,42,0.5,-0.008599014377014266,0.006204175064340234,0.003571694018319249,0.011067544925026596,glass
LOF,3,0.2,1.2909944487358056,25,214,42,0.5,0.18414758495502564,0.005267914035357535,0.002573401085101068,0.008898399071767926,glass
LOF,3,0.2,1.2909944487358056,26,214,42,0.5,0.2702921768970868,0.005084906006231904,0.0031902410555630922,0.00943012407515198,glass
LOF,3,0.2,1.2909944487358056,27,214,42,0.75,0.3572326097752026,0.004637485020793974,0.002710322034545243,0.008503429009579122,glass
LOF,3,0.2,1.2909944487358056,28,214,42,0.5,0.34896446911675255,0.0047098430804908276,0.0037099740002304316,0.009760342072695494,glass
LOF,3,0.2,1.2909944487358056,29,214,42,0.5,0.4123071581486146,0.004413117887452245,0.0028487950330600142,0.008397206896916032,glass
LOF,5,0.05,2.0,0,214,10,0.0,0.11078234188139946,0.0048457629745826125,0.2734065520344302,0.27989160001743585,glass
LOF,5,0.05,2.0,1,214,10,1.0,0.3439179697143973,0.0053099270444363356,0.0530009149806574,0.05960152007173747,glass
LOF,5,0.05,2.0,2,214,10,0.0,0.11880802590133727,0.005171683966182172,0.023621903033927083,0.030054432922042906,glass
LOF,5,0.05,2.0,3,214,10,0.0,0.2724193860473977,0.004737791954539716,0.005412730970419943,0.011337382951751351,glass
LOF,5,0.05,2.0,4,214,10,0.0,-0.37690143708164003,0.004848464974202216,0.04346297902520746,0.04959146410692483,glass
LOF,5,0.05,2.0,5,214,10,0.0,0.3865321650581048,0.004926820984110236,0.045590579975396395,0.051803195965476334,glass
LOF,5,0.05,2.0,6,214,10,1.0,0.3277385961594811,0.004965147003531456,0.04997440695296973,0.056084644980728626,glass
LOF,5,0.05,2.0,7,214,10,0.0,0.3841534829910357,0.004728205967694521,0.09929322905372828,0.10526528605259955,glass
LOF,5,0.05,2.0,8,214,10,0.0,0.3200378765462651,0.005063466960564256,0.040263278991915286,0.04651637398637831,glass
LOF,5,0.05,2.0,9,214,10,0.0,0.22627786434233255,0.004726429004222155,0.052613436011597514,0.05864719802048057,glass
LOF,5,0.05,2.0,10,214,10,0.0,0.24618298195866545,0.0048494330840185285,0.02951419400051236,0.03565226204227656,glass
LOF,5,0.05,2.0,11,214,10,0.0,-0.4356156145892926,0.004713632981292903,0.009220545995049179,0.015176040004007518,glass
LOF,5,0.05,2.0,12,214,10,1.0,0.12283655492869483,0.00525031506549567,0.06676841003354639,0.07318512094207108,glass
LOF,5,0.05,2.0,13,214,10,0.0,0.5752809675222647,0.004735843976959586,0.15956752095371485,0.16556574101559818,glass
LOF,5,0.05,2.0,14,214,10,1.0,0.5000092953216654,0.004659467958845198,0.13365369895473123,0.1396450150059536,glass
LOF,5,0.05,2.0,15,214,10,0.0,-0.22156468376279892,0.005314746988005936,0.10377420601435006,0.11024434899445623,glass
LOF,5,0.05,2.0,16,214,10,0.0,0.23928181646454103,0.004743437981233001,0.03376523102633655,0.0398492100648582,glass
LOF,5,0.05,2.0,17,214,10,0.0,-0.33333333333333326,0.005173141020350158,0.0468673660652712,0.05321400298271328,glass
LOF,5,0.05,2.0,18,214,10,0.0,0.8170883606475995,0.004864890011958778,0.02161908708512783,0.02785971702542156,glass
LOF,5,0.05,2.0,19,214,10,0.0,0.2313629978078673,0.004727838095277548,0.05011293408460915,0.056012187036685646,glass
LOF,5,0.05,2.0,20,214,10,1.0,0.8469257208241591,0.0047695140819996595,0.028498911997303367,0.034541264991275966,glass
LOF,5,0.05,2.0,21,214,10,0.0,-0.192606037041233,0.004791239975020289,0.025749913998879492,0.03174817701801658,glass
LOF,5,0.05,2.0,22,214,10,0.0,0.0,0.004790718900039792,0.04433152102865279,0.050327657954767346,glass
LOF,5,0.05,2.0,23,214,10,0.0,0.35757575757575755,0.0049056250136345625,0.01354633190203458,0.019733673078007996,glass
